timestamp_s	cs/attenuator/state	cs/cup1/state	cs/cup2/state	cs/cup3/state	cs/cup4/state	cs/cup5/state	cs/einzellens/meas_u_v	cs/einzellens/set_u_v	cs/esa/meas_u_v	cs/esa/set_u_v	cs/extraction/meas_u_v	cs/extraction/set_u_v	cs/ion_cooler/meas_u_v	cs/ion_cooler/set_u_v	cs/ionizer/meas_i_a	cs/ionizer/set_i_a	cs/lens2/meas_u_v	cs/lens2/set_u_v	cs/lens4/meas_u_v	cs/lens4/set_u_v	cs/oven/meas_i_a	cs/oven/set_i_a	cs/oven/temp_c	cs/pump/state	cs/pump_valve/state	cs/qp1/meas_u_v	cs/qp1/set_u_v	cs/qp2/meas_u_v	cs/qp2/set_u_v	cs/qp3/meas_u_v	cs/qp3/set_u_v	cs/quick_cool/state	cs/source_valve/state	cs/sputter/meas_i_a	cs/sputter/meas_i_mA	cs/sputter/meas_u_v	cs/sputter/set_u_v	cs/vac1/meas_v	cs/vac2/meas_v	cs/vent/state	cs/wheel/state	cup/connected	cup/hv	cup/selected	gaussmeter_connected	hv/1/meas_i_mA	hv/1/meas_v	hv/1/set_v	hv/2/meas_i_mA	hv/2/meas_v	hv/2/set_v	hv/3/meas_i_mA	hv/3/meas_v	hv/3/set_v	hv/4/meas_i_mA	hv/4/meas_v	hv/4/set_v	keithley/connected	keithley/current_A	keithley/log	magnet_connected	magnet_current_meas	magnet_current_set	magnet_field_meas	magnet_voltage_meas	pressure/meas_v	pressure/set_v	psu/1/meas_v	psu/1/set_v	psu/2/meas_v	psu/2/set_v	rfq/fg_freq_hz	rfq/fg_vpp	sample/last_command	sample/last_pos_idx	sample/last_sample_name	sample/last_target_steps	sample/last_timestamp	steerer/1x/meas_u	steerer/1x/set_u	steerer/1y/meas_u	steerer/1y/set_u	steerer/2x/meas_u	steerer/2x/set_u	steerer/2y/meas_u	steerer/2y/set_u	steerer/3x/meas_u	steerer/3x/set_u	steerer/3y/meas_u	steerer/3y/set_u	steerer/bias/meas_u	steerer/bias/set_u	stepper_connected	stepper_moving	stepper_position_meas	stepper_target_position_set
1776280779.933657	False	False	False	False	False	False	18914.7618030335	19955.09	2640.88869899594	2755.0	18787.652211066	19600.0	26407.6662495804	27558.0	21.7474898525956	22.0	10530.7931760613	10651.76	8872.3410748619	9310.0	0.0	0.0	26.5	False	False	34.9131748405408	36.0	1400.8911404767	1462.0	74.5872371593371	80.0	False	False	9.49125644703513e-05	0.09491256447035129	7649.76958525346	8000.0	2.91604358043153	3.03018280587176	False	False	True	OFF	1	True	0.0	282.876064333018	300.0	0.0	0.0	0.0	0.0	0.396740623187963	0.0	6.10370189519944e-05	6.34784997100742	13.0	True	1.277741e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2828	28.2834	-3.14	14.0396	0.00122074037903989	0.0	0.0	0.0	0.65004425183874	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	244.895779290139	244.38	291.558580278939	293.75	316.125980407117	316.0	191.29001739555	192.0	245.124668111209	245.96	328.638569292276	329.96	249.000518814661	250.0	True		200	
1776280780.934355	False	False	False	False	False	False	18957.4877162999	19955.09	2640.03418073061	2755.0	18817.5603503525	19600.0	26412.2440260018	27558.0	21.7658009582812	22.0	10547.9598376415	10651.76	8833.27738273263	9310.0	0.0	0.0	26.5	False	False	33.9213232825709	36.0	1400.69277016511	1462.0	73.7937559129612	80.0	False	False	8.36207159642323e-05	0.08362071596423229	7651.60069582202	8000.0	2.92764061403241	3.0283516953032	False	False	True	OFF	1	True	0.0	282.876064333018	300.0	0.0	0.0	0.0	0.0	0.396740623187963	0.0	0.000152592547379986	6.34784997100742	13.0	True	1.268733e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2823	28.2834	-3.14	14.0429	0.00274666585283975	0.0	0.0	0.0	0.65004425183874	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	242.576372569964	244.38	292.672505874813	293.75	316.232795190283	316.0	191.167943357646	192.0	243.934446241646	245.96	330.469679860836	329.96	249.534592730491	250.0	True		200	
1776280781.935267	False	False	False	False	False	False	18930.7840205084	19955.09	2640.67506942961	2755.0	18771.6299935911	19600.0	26404.6143986328	27558.0	21.6803491317484	22.0	10544.9079866939	10651.76	8954.13068025758	9310.0	0.0	0.0	26.5	False	False	34.5164342173528	36.0	1401.28788109989	1462.0	73.7937559129612	80.0	False	False	9.88799707022309e-05	0.0988799707022309	7653.43180639058	8000.0	2.90536210211493	3.00119022186956	False	False	True	OFF	1	True	0.0	283.669545579394	300.0	0.0	0.0	0.0	0.0	0.595110934781945	0.0	0.000152592547379986	9.52177495651112	13.0	True	1.276495e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2822	28.2834	-3.14	14.0427	0.00183111056855983	0.0	0.0	0.0	0.645466475417341	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	244.087038789026	244.38	294.595171971801	293.75	316.156498916593	316.0	191.259498886074	192.0	243.812372203742	245.96	327.677236243782	329.96	249.656666768395	250.0	True		200	
1776280782.935995	False	False	False	False	False	False	18953.2151249733	19955.09	2641.20914334544	2755.0	18781.2433240761	19600.0	26406.1403241066	27558.0	21.7352824488052	22.0	10538.0413220618	10651.76	8905.30106509598	9310.0	0.0	0.0	26.5	False	False	33.127842036195	36.0	1400.49439985351	1462.0	74.7856074709311	80.0	False	False	9.49125644703513e-05	0.09491256447035129	7654.95773186438	8000.0	2.91329691457869	3.00332651753288	False	False	True	OFF	1	True	0.0	282.876064333018	300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000305185094759972	4.76088747825556	13.0	True	1.276821e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2823	28.2834	-3.14	14.0437	0.00183111056855983	0.0	0.0	0.0	0.622577593310343	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	244.651631214332	244.38	293.725394451735	293.75	316.324350718711	316.0	191.183202612384	192.0	244.36170537431	245.96	327.249977111118	329.96	249.916074098941	250.0	True		200	
1776280783.936820	False	False	False	False	False	False	18941.465498825	19955.09	2640.46143986328	2755.0	18815.4240546892	19600.0	26400.0366222114	27558.0	22.0282601397748	22.0	10542.2376171148	10651.76	8878.4447767571	9310.0	0.0	0.0	26.5	False	False	33.9213232825709	36.0	1400.29602954192	1462.0	74.1904965361492	80.0	False	False	7.35496078371532e-05	0.07354960783715321	7674.18439283425	8000.0	2.92825098422193	3.0176702169866	False	False	True	OFF	1	True	0.0	283.867915890988	300.0	0.0	0.0	0.0	0.0	0.396740623187963	0.0	0.000305185094759972	6.14947965941343	13.0	True	1.268837e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2818	28.2834	-3.14	14.0384	0.00488296151615955	0.0	0.0	0.0	0.682088686788537	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	242.637409588916	244.38	291.802728354747	293.75	316.263313699759	316.0	191.183202612384	192.0	245.536667989135	245.96	330.027161473434	329.96	249.992370372631	250.0	True		200	
1776280784.937340	False	False	False	False	False	False	18921.1706900235	19955.09	2639.92736594745	2755.0	18774.8344370861	19600.0	26407.6662495804	27558.0	21.8390453810236	22.0	10542.6190984832	10651.76	8983.42844935453	9310.0	0.0	0.0	26.5	False	False	34.3180639057588	36.0	1401.68462172307	1462.0	74.3888668477432	80.0	False	False	8.05688650166326e-05	0.0805688650166326	7666.55476546525	8000.0	2.89712210455641	3.00698873867	False	False	True	OFF	1	True	0.0	277.321695608387	300.0	0.0	0.0	0.0	0.0	0.793481246375927	0.0	0.000122074037903989	6.5462202826014	13.0	True	1.27072e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2817	28.2834	-3.14	14.0405	0.00274666585283975	0.0	0.0	0.0	0.65004425183874	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	244.483779412214	244.38	292.443617053743	293.75	316.141239661855	316.0	191.29001739555	192.0	246.284371471297	245.96	329.06582842494	329.96	250.083925901059	250.0	True		200	
1776280785.938724	False	False	False	False	False	False	18961.7603076266	19955.09	2639.92736594745	2755.0	18806.8788720359	19600.0	26415.2958769494	27558.0	21.912289803766	22.0	10549.8672444838	10651.76	8921.1706900235	9310.0	0.0	0.0	26.5	False	False	34.9131748405408	36.0	1400.49439985351	1462.0	73.5953856013672	80.0	False	False	8.02636799218726e-05	0.0802636799218726	7659.23032319102	8000.0	2.90261543626209	3.00119022186956	False	False	True	OFF	1	True	0.0	280.49562059389	300.0	0.0	0.0	0.0	0.0	0.198370311593982	0.0	0.000335703604235969	3.96740623187963	13.0	True	1.261407e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2822	28.2834	-3.14	14.0429	0.00183111056855983	0.0	0.0	0.0	0.682088686788537	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	244.36170537431	244.38	294.763023773919	293.75	316.431165501877	316.0	191.198461867122	192.0	245.796075319681	245.96	326.85323648793	329.96	249.992370372631	250.0	True		200	
1776280786.939196	False	False	False	False	False	False	18957.4877162999	19955.09	2640.46143986328	2755.0	18809.0151676992	19600.0	26395.45884579	27558.0	21.9550157170324	22.0	10542.6190984832	10651.76	8978.54548783837	9310.0	0.0	0.0	26.5	False	False	35.9050263985107	36.0	1401.28788109989	1462.0	75.777459028901	80.0	False	False	7.87377544480728e-05	0.0787377544480728	7668.08069093905	8000.0	2.90231025116733	3.02621539963988	False	False	True	OFF	1	True	0.0	284.46302682577	300.0	0.0	0.0	0.0	0.0	0.396740623187963	0.0	0.00021362956633198	5.15762810144353	13.0	True	1.27657e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2825	28.2834	-3.14	14.0408	0.0	0.0	0.00366222113711966	0.0	0.700399792474136	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	242.561113315226	244.38	294.122135074923	293.75	316.370128482925	316.0	191.21372112186	192.0	245.170445875423	245.96	329.538865321818	329.96	249.809259315775	250.0	True		200	
1776280787.939656	False	False	False	False	False	False	18956.4195684683	19955.09	2640.56825464644	2755.0	18800.4699850459	19600.0	26401.5625476852	27558.0	21.72917874691	22.0	10544.5265053255	10651.76	8949.24771874142	9310.0	0.0	0.0	26.5	False	False	33.9213232825709	36.0	1399.89928891873	1462.0	74.9839777825251	80.0	False	False	9.21658986175115e-05	0.0921658986175115	7656.17847224342	8000.0	2.90444654683065	2.99752800073244	False	False	True	OFF	1	True	0.0	279.702139347514	300.0	0.0	0.0	0.0	0.0	0.595110934781945	0.0	0.000152592547379986	6.14947965941343	13.0	True	1.274115e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2826	28.2834	-3.14	14.0428	0.000915555284279916	0.0	0.0	0.0	0.695822016052736	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	244.834742271187	244.38	291.909543137913	293.75	316.476943266091	316.0	191.21372112186	192.0	243.964964751122	245.96	330.072939237648	329.96	249.626148258919	250.0	True		200	
1776280788.940328	False	False	False	False	False	False	18955.3514206366	19955.09	2639.92736594745	2755.0	18813.2877590259	19600.0	26387.829218421	27558.0	21.8268379772332	22.0	10521.6376232185	10651.76	8973.66252632221	9310.0	0.0	0.0	26.5	False	False	33.9213232825709	36.0	1400.29602954192	1462.0	73.3970152897733	80.0	False	False	7.44651631214331e-05	0.0744651631214331	7674.79476302377	8000.0	2.89773247474593	3.02438428907132	False	False	True	OFF	1	True	0.0	283.074434644612	300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000366222113711966	13.8859218115787	13.0	True	1.2821e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2824	28.2834	-3.14	14.0405	0.000915555284279916	0.0	0.0	0.0	0.686666463209937	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	243.247779778436	244.38	291.970580156865	293.75	316.553239539781	316.0	191.274758140812	192.0	243.888668477432	245.96	326.914273506882	329.96	249.382000183111	250.0	True		200	
1776280789.940828	False	False	False	False	False	False	18955.3514206366	19955.09	2640.56825464644	2755.0	18782.3114719077	19600.0	26401.5625476852	27558.0	21.8878749961852	22.0	10547.9598376415	10651.76	8951.6891994995	9310.0	0.0	0.0	26.5	False	False	33.5245826593829	36.0	1399.30417798395	1462.0	73.7937559129612	80.0	False	False	8.23999755851924e-05	0.08239997558519241	7668.38587603381	8000.0	2.91360209967345	3.03018280587176	False	False	True	OFF	1	True	0.0	283.669545579394	300.0	0.0	0.0	0.0	0.0	0.991851557969909	0.0	0.000183111056855983	3.37229529709769	13.0	True	1.277879e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2827	28.2834	-3.14	14.036	0.00152592547379986	0.0	0.0	0.0	0.65462202826014	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	243.29355754265	244.38	294.183172093875	293.75	316.415906247139	316.0	191.244239631336	192.0	244.651631214332	245.96	328.91323587756	329.96	249.092074343089	250.0	True		200	
1776280790.941458	False	False	False	False	False	False	18943.6017944884	19955.09	2640.88869899594	2755.0	18789.7885067293	19600.0	26406.1403241066	27558.0	21.9916379284036	22.0	10538.4228034303	10651.76	8939.4817957091	9310.0	0.0	0.0	26.5	False	False	36.1033967101047	36.0	1401.48625141148	1462.0	75.777459028901	80.0	False	False	7.87377544480728e-05	0.0787377544480728	7661.06143375957	8000.0	2.90963469344157	3.02560502945036	False	False	True	OFF	1	True	0.0	283.074434644612	300.0	0.0	0.0	0.0	0.0	0.396740623187963	0.0	6.10370189519944e-05	3.96740623187963	13.0	True	1.263917e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2813	28.2834	-3.14	14.0397	0.00122074037903989	0.0	0.0	0.0	0.672933133945738	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	244.819483016449	244.38	294.259468367565	293.75	316.354869228187	316.0	191.244239631336	192.0	245.735038300729	245.96	330.484939115574	329.96	248.863185522019	250.0	True		200	
1776280791.942200	False	False	False	False	False	False	18950.0106814783	19955.09	2640.46143986328	2755.0	18806.8788720359	19600.0	26400.0366222114	27558.0	21.8085268715476	22.0	10552.9190954314	10651.76	8896.7558824427	9310.0	0.0	0.0	26.5	False	False	32.929471724601	36.0	1399.89928891873	1462.0	74.1904965361492	80.0	False	False	8.88088625751518e-05	0.0888088625751518	7659.23032319102	8000.0	2.91665395062105	3.00180059205908	False	False	True	OFF	1	True	0.0	285.058137760552	300.0	0.0	0.0	0.0	0.0	0.198370311593982	0.0	0.000518814661091952	7.73644215216529	13.0	True	1.272504e-08	SCPI >> :SENS:AVER:STAT OFF	True	28.2816	28.2834	-3.14	14.0407	0.00305185094759972	0.0	0.0	0.0	0.727866451002533	0.8			GO	3	3 (C (Cu) new)	246417	2026-04-15T15:38:08	242.820520645772	244.38	292.565691091647	293.75	316.507461775567	316.0	191.198461867122	192.0	246.238593707083	245.96	327.61619922483	329.96	248.802148503067	250.0	True		200	
